Population,Bin_ID,Interval_Notation,Lower_Boundary,Upper_Boundary,Reference_OOF_Lower_Extremum,Reference_OOF_Upper_Extremum,Applicant_Count,Default_Count,Mean_Predicted_Probability,Observed_Default_Rate,Calibration_Gap,Absolute_Calibration_Gap
DEVELOPMENT_VALIDATION_POPULATION,1,"[-inf, 0.016200)",0.0025300292763859,0.0161998137831687,0.0025300292763859,0.8671493530273438,4534,53,0.0118266060227079,0.0116894574327304,0.0001371485899774,0.0001371485899774
DEVELOPMENT_VALIDATION_POPULATION,2,"[0.016200, 0.023305)",0.0161998137831687,0.0233053319156169,0.0025300292763859,0.8671493530273438,4545,69,0.0197375580127483,0.0151815181518151,0.0045560398609331,0.0045560398609331
DEVELOPMENT_VALIDATION_POPULATION,3,"[0.023305, 0.030895)",0.0233053319156169,0.0308951023966074,0.0025300292763859,0.8671493530273438,4737,122,0.0270252865348903,0.0257546970656533,0.001270589469237,0.001270589469237
DEVELOPMENT_VALIDATION_POPULATION,4,"[0.030895, 0.039801)",0.0308951023966074,0.0398005574941635,0.0025300292763859,0.8671493530273438,4645,151,0.0352285707339371,0.032508073196986,0.0027204975369511,0.0027204975369511
DEVELOPMENT_VALIDATION_POPULATION,5,"[0.039801, 0.050923)",0.0398005574941635,0.0509226210415363,0.0025300292763859,0.8671493530273438,4688,220,0.0452219540087995,0.0469283276450511,-0.0017063736362516,0.0017063736362516
DEVELOPMENT_VALIDATION_POPULATION,6,"[0.050923, 0.065439)",0.0509226210415363,0.0654394790530205,0.0025300292763859,0.8671493530273438,4581,271,0.0577692825162587,0.0591573892163283,-0.0013881067000695,0.0013881067000695
DEVELOPMENT_VALIDATION_POPULATION,7,"[0.065439, 0.086383)",0.0654394790530205,0.0863830998539924,0.0025300292763859,0.8671493530273438,4602,341,0.0752638930204716,0.0740982181660147,0.0011656748544568,0.0011656748544568
DEVELOPMENT_VALIDATION_POPULATION,8,"[0.086383, 0.118722)",0.0863830998539924,0.1187224999070167,0.0025300292763859,0.8671493530273438,4538,482,0.1009723327137815,0.1062141912736888,-0.0052418585599072,0.0052418585599072
DEVELOPMENT_VALIDATION_POPULATION,9,"[0.118722, 0.182838)",0.1187224999070167,0.1828380823135375,0.0025300292763859,0.8671493530273438,4572,668,0.1459327369279774,0.1461067366579177,-0.0001739997299402,0.0001739997299402
DEVELOPMENT_VALIDATION_POPULATION,10,"[0.182838, +inf)",0.1828380823135375,0.8671493530273438,0.0025300292763859,0.8671493530273438,4685,1347,0.285566967315455,0.287513340448239,-0.001946373132784,0.001946373132784
